trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
1994-02-23,-0.0058309,-0.004867521,-0.006416777,-0.006044148,0.0070873136,0.0037287068,0.000285,-0.007633304,-0.00756455,-0.006500538,0.0076884718,0.0012883333
1994-02-24,0.0229908047,-0.014071741,-0.030835768,-0.001817404,0.031061057,0.0126849376,0.000285,-0.01860137,-0.0313672,-0.006315615,0.0292138,-0.004266167
1994-02-25,0.0021083661,0.0146667568,0.0208204332,0.0203586239,-0.03036232,-0.033272021,0.000285,0.0158699296,0.0207363333,0.0197996154,-0.023972677,-0.02214175
1994-02-28,-0.023332534,-0.006147458,0.0050018108,-0.009737154,-0.002003584,0.0025199079,0.000285,-0.003872578,0.0031798,-0.003993769,0.0018523385,0.01489275
1994-03-01,-0.003334831,-0.00640556,0.0002550599,0.0022335678,-0.004084413,-0.011415375,0.000285,-0.006220891,-0.003964975,-0.002528269,-0.001867183,-0.00691025
1994-03-02,-0.01689695,-0.005338414,-0.015636368,0.00378249,0.0089385867,0.0096733911,0.000285,-0.004673902,-0.016269642,0.0028174121,0.011802625,0.0093023333
1994-03-03,-0.015557341,-0.005273089,-0.000381596,0.0123482112,-0.000756592,-0.005498725,0.000285,-0.007360704,-0.001494117,0.0122657473,0.0028496779,-0.000322
1994-03-04,-0.01479187,-0.004282875,0.0031219352,-0.001477075,-0.000645658,-0.01212028,0.000285,-0.004161528,-0.003716175,0.0030044176,0.006031,-0.008268167
1994-03-07,-0.005089386,-0.009989191,0.00605515,0.0315999056,-0.020363919,-0.029107977,0.000285,-0.014108437,-0.000516033,0.0210291868,-0.001298457,-0.013848083
1994-03-08,-0.000065073,-0.003140001,0.0182194233,0.0260828394,-0.028748059,-0.039030962,0.000285,-0.008739587,0.0163178583,0.0206826923,-0.018259505,-0.030206833
1994-03-09,0.0024973222,-0.008351076,0.0088273342,0.0451365424,-0.028944385,-0.0534162,0.000285,-0.006709343,0.0046290917,0.0301171923,-0.009859303,-0.04410675
1994-03-10,-0.03598609,0.0168719137,-0.033859201,-0.038152838,0.0378853713,0.0537015657,0.000285,0.0158329741,-0.026536383,-0.017043505,0.0150260337,0.0354151667
1994-03-11,0.0159233984,0.0106933158,0.0137188118,0.00832648,-0.010861989,-0.004235569,0.000285,0.0081394704,0.0129599,0.0049986099,-0.009510524,0.00448075
1994-03-14,0.0774330757,0.0388556308,0.0399381191,-0.009112596,-0.031497628,-0.024332771,0.000285,0.0445909278,0.048694875,-0.018209846,-0.039820769,-0.01578125
1994-03-15,-0.0319937,-0.000786667,0.0032921149,0.0148583533,-0.015437294,-0.007785473,0.000285,-0.004500424,0.0089507583,-0.002094148,-0.018910466,0.00440375
1994-03-16,0.0025059294,0.0239197163,0.0189970775,0.0272549717,-0.037564073,-0.009235353,0.000285,0.0258132889,0.0203843833,0.0214087473,-0.032755245,-0.005000917
1994-03-17,-0.003650079,0.013785087,-0.020550625,-0.00629297,0.0219670028,0.0315733652,0.000285,0.0083619519,-0.014809433,-0.000580345,0.013807359,0.0314365
1994-03-18,-0.011215163,-0.00498138,-0.005252301,-0.000798084,0.0134863579,0.0001339433,0.000285,-0.006779209,-0.006880742,-0.001962533,0.0090892163,-0.00211825
1994-03-21,-0.039627149,-0.005286462,-0.00704323,0.0054124256,0.0088283396,0.0151387607,0.000285,-0.006150337,-0.0055522,0.008273989,0.0155637981,0.0080671667
1994-03-22,-0.003900361,0.0130634567,0.0152927246,0.017730051,-0.028410204,-0.012865183,0.000285,0.0122188519,0.0094781,0.0158678095,-0.019612272,-0.003836
1994-03-23,-0.033422265,0.0079807281,0.0164997259,0.0111070314,-0.018234894,-0.002516216,0.000285,0.0114898741,0.0220359667,0.0121848297,-0.008617375,0.0036545
1994-03-24,-0.009185545,0.0118196009,0.0156967716,0.0105963313,-0.007548219,-0.004817032,0.000285,0.0136903907,0.017768725,0.0124629505,-0.010047053,-0.002850417
1994-03-25,0.0084023422,-0.012573587,0.0009787318,0.0179854108,-0.021167945,-0.017219416,0.000285,-0.008192504,-0.002771117,0.0050497088,-0.013843971,-0.01616075
1994-03-28,-0.027564914,0.0103111922,0.0262693211,0.0110953436,-0.009505992,-0.006610229,0.000285,0.0135170481,0.0351469833,0.000105131,-0.010426246,-0.0058005
1994-03-29,0.0190545125,0.0057383227,-0.013179311,0.0066727868,0.007729137,-0.013588669,0.000285,0.0071956426,-0.008205008,-0.002827203,0.0039156779,-0.023380583
1994-03-30,0.0033672165,0.0212236976,-0.006653975,-0.013858291,0.0066092655,0.06330559,0.000285,0.0277119333,-0.001378883,-0.008498405,-0.003630795,0.035227
1994-03-31,-0.019655707,0.0131926048,-0.019783919,0.0240796613,-0.021100662,-0.007906956,0.000285,0.0121375862,-0.021447876,0.0297426154,-0.004895428,0.001812
1994-04-01,-0.01170001,-0.01574154,0.0112587035,0.007513477,-0.003393014,-0.000577591,0.000285,-0.018743436,0.009721696,-0.004778705,-0.006370333,0.0009586667
1994-04-04,-0.011231912,0.0267938066,0.0125604735,0.0056552721,-0.005008501,-0.01982343,0.000285,0.0195254981,0.008929325,-0.003920042,-0.009952654,0.0020954167
1994-04-05,-0.001947228,-0.008130284,-0.01240768,-0.003207117,0.009012611,0.0017092156,0.000285,-0.010578748,-0.013775378,-0.002548167,0.0100838798,0.0041329167
1994-04-06,0.0056898035,0.0226181868,-0.022325601,0.0076277895,0.0147145084,0.0127775682,0.000285,0.02365655,-0.026132,0.0123591364,0.0238755769,0.00519025
1994-04-07,-0.003548097,0.0047358789,0.0203911941,-0.007051628,-0.011422802,0.0022971961,0.000285,0.0043169389,0.0162570417,-0.015712792,-0.016950356,0.004655
1994-04-08,-0.014908071,0.0050036233,0.0134003093,0.0195053929,-0.018550873,-0.032977718,0.000285,0.0068838259,0.01619235,0.018226375,-0.017887359,-0.014621167
1994-04-11,-0.035565862,0.0331127342,0.0200821662,-0.007353463,-0.010909656,-0.021146614,0.000285,0.0320496296,0.0170659167,-0.013678542,-0.012171793,-0.014514833
1994-04-12,0.0032097614,0.0058580543,0.0016832021,0.0036127241,-0.00845624,0.0224887411,0.000285,0.0110362463,0.005117175,0.0017852,-0.011341959,0.0158539167
1994-04-13,-0.019756044,0.0134295433,0.0234919873,-0.001586553,-0.011148015,-0.012464749,0.000285,0.0172428204,0.022387375,0.0048792708,-0.005926264,-0.009355417
1994-04-14,-0.048208618,0.0078751266,0.019061482,0.0165472779,-0.024887659,-0.012423629,0.000285,0.0078181667,0.01795165,0.01060775,-0.021554466,-0.007341167
1994-04-15,0.0110566211,-0.010179924,-0.039066472,-0.018692698,0.0493040027,0.0210884492,0.000285,-0.014450746,-0.038187208,-0.0259635,0.0436333221,0.0048573333
1994-04-18,-0.053071917,0.032049413,0.0381606435,-0.001531411,-0.0255177,-0.012331806,0.000285,0.0357094407,0.0445896833,0.0075836875,-0.037179668,-0.003694167
1994-04-19,-0.075051134,0.0188739215,0.0213927221,0.0053025074,-0.019287063,0.0098225839,0.000285,0.0208306093,0.022944675,0.0093619,-0.010307981,0.005037
1994-04-20,-0.054392836,-0.031716382,-0.006175537,0.0222808399,-0.005377597,-0.039409731,0.000285,-0.031558143,-0.006707592,0.0136447083,-0.004274596,-0.033760167
1994-04-21,0.0770331636,0.020462821,0.0140709059,0.0350453035,-0.031500118,-0.013438321,0.000285,0.013825487,0.0090651833,0.0285048375,-0.011369442,0.0046481667
1994-04-22,-0.040170915,-0.006673047,-0.002768239,0.0118970472,0.0070974392,-0.01087643,0.000285,-0.007764572,-0.003052358,0.0150488167,0.0042106462,-0.009251917
1994-04-25,0.0108290863,-0.01253085,-0.03205987,-0.012117719,0.0351147281,0.0180626239,0.000285,-0.007455685,-0.030203561,-0.012606114,0.0196124718,0.008698
1994-04-26,0.0410726444,0.008048241,-0.006491113,0.0021521112,-0.004130889,0.0081344531,0.000285,0.0048787034,-0.008856904,0.0005577468,-0.001717687,0.0031778333
1994-04-27,0.0512654986,-0.013821412,-0.010122995,-0.03274018,0.0196513107,-0.00018139,0.000285,-0.016450276,-0.014474558,-0.037185497,0.0138004103,-0.004050333
1994-04-28,-0.020218176,0.0101295416,-0.011739401,-0.002289254,0.0057699504,0.0124158198,0.000285,0.0194651898,-0.006379083,0.0004217265,-0.002850183,0.0082153333
1994-04-29,0.0267377377,-0.041036265,-0.00934029,-0.028739992,0.0474107062,0.0720178446,0.000285,-0.048783659,-0.006644417,-0.015937883,0.0502780913,0.0536343333
1994-05-03,0.084347579,-0.052942249,-0.075216573,-0.12723115,0.1381570059,0.0548673863,0.000285,-0.0257077,-0.044849225,-0.042516162,0.0709700114,0.0277915
1994-05-04,-0.008581434,0.0433081516,0.0596380255,0.0664289429,-0.065995705,-0.050515148,0.000285,0.0495276083,0.058385475,0.053817275,-0.057737858,-0.019293583
1994-05-05,-0.042893406,0.0003007249,0.0036830046,-0.002060887,0.006643607,0.0015988802,0.000285,0.0002568833,0.00317095,0.0024240875,0.0025795682,-0.000043083
1994-05-06,-0.000367799,-0.00548979,-0.013629734,-0.013001927,0.0113201817,0.0121038051,0.000285,-0.005399283,-0.0173804,-0.011649562,0.0160228807,0.0014444167
1994-05-09,0.038567764,-0.021249626,-0.044906032,-0.062334533,0.0618618952,0.0556310652,0.000285,-0.016776808,-0.03784785,-0.0396166,0.0405079261,0.0166999167
1994-05-10,0.014563472,-0.003264094,0.0085852628,-0.002016912,-0.006138252,-0.005170357,0.000285,-0.006545686,0.0070439167,-0.020660288,0.0002924,0.0019000833
1994-05-11,-0.025662528,0.0153632475,0.0043838733,0.0313805206,-0.029315748,-0.030308843,0.000285,0.0176504833,0.000644725,0.030763525,-0.027657432,-0.02728325
1994-05-12,-0.027129455,-0.004758437,0.0247365268,0.0132027575,-0.014583016,-0.010243093,0.000285,-0.005250408,0.02138815,0.006013875,-0.003052375,-0.001662583
1994-05-13,0.0400633183,-0.017345391,-0.02859509,-0.038097674,0.0426185888,0.0281029436,0.000285,-0.0154634,-0.023465375,-0.027560213,0.0336545852,0.00912825
1994-05-16,-0.003880009,-0.004883192,-0.008708192,-0.004181223,-0.000883017,-0.005147893,0.000285,-0.006637425,-0.004517275,-0.003688,-0.004712682,-0.01164875
1994-05-17,-0.021398339,0.0202343483,0.028296704,0.0416484304,-0.035955168,-0.021485746,0.000285,0.0144839083,0.0260691,0.03500825,-0.028023563,-0.007113167
1994-05-18,-0.008110952,-0.004663225,-0.007108088,0.0016885174,0.0016686541,-0.00824073,0.000285,-0.003803619,-0.007334775,-0.00131645,0.0026532159,-0.001872667
1994-05-19,0.022113039,-0.007729779,-0.02043958,-0.009756717,0.0143101314,0.0183911702,0.000285,-0.00849215,-0.0176267,-0.006675425,0.0102971307,0.0080519167
1994-05-20,-0.002160453,0.0025067918,0.0103993856,0.0121886827,-0.010585144,-0.007360341,0.000285,0.0052228519,0.0087803583,0.0120809,-0.005090867,-0.000410667
1994-05-23,-0.018897585,0.0056131925,0.0022810492,0.0200441172,-0.009390014,-0.010597638,0.000285,0.000895575,-0.002216175,0.0106116375,0.0017685909,-0.003828583
1994-05-24,0.0068052067,-0.000760823,-0.006568929,0.0011276857,-0.001192026,0.0095295059,0.000285,-0.004563922,-0.006289058,-0.002659837,0.0026165739,0.0068533333
1994-05-25,-0.016574307,0.0184588605,0.0239845275,0.0152375608,-0.01118567,-0.036787483,0.000285,0.020417975,0.0234273,0.0154414625,-0.008314318,-0.017393583
1994-05-26,-0.024050984,0.0057108842,0.0048164696,0.0122791172,-0.018764048,-0.015070715,0.000285,0.0021335833,0.001827625,0.005082275,-0.013416,-0.008737583
1994-05-27,-0.007631304,-0.002349893,0.0008942479,0.0013886627,0.0018114869,-0.002090437,0.000285,-0.004707742,0.003584625,-0.001301687,0.0022824602,-0.0005915
1994-05-30,-0.055472195,0.0060433355,0.0072083909,0.017172088,-0.007908258,-0.00430228,0.000285,0.0041650083,0.0056697,0.0055286125,0.0018492557,0.00371275
1994-05-31,0.0183469999,0.0067490214,0.0062133225,-0.006350591,0.007075858,-0.000822737,0.000285,0.0108041444,0.0096113417,0.0062616,-0.000365938,-0.000528667
1994-06-01,-0.030261669,0.0069781256,0.0126181926,0.0212998032,-0.02019131,-0.011247604,0.000285,0.0051506944,0.0137902417,0.0159964841,-0.011663457,-0.000668917
1994-06-02,0.0034530866,0.0080941092,0.0084550512,0.0105565281,0.0032992628,0.0018179286,0.000285,0.0092664407,0.0055435667,0.009995754,0.0056766202,0.0055960833
1994-06-03,0.0045915815,0.0089398502,0.0049049558,0.0110932735,-0.003013976,-0.007601275,0.000285,0.0065976519,0.0056951167,0.0051098487,-0.007930317,-0.004961
1994-06-06,-0.014560656,0.0055135981,0.0043645902,0.0051793301,-0.00372069,0.007818748,0.000285,0.0010566352,0.0096590917,0.010589746,-0.006965663,0.0100376667
1994-06-07,-0.012495696,-0.010509598,-0.002828542,0.0040591048,0.0106258267,0.0207514399,0.000285,-0.013310694,-0.001928142,0.0063495556,0.0138748269,0.0124051667
1994-06-08,0.0150554199,0.0033418857,0.0060565013,0.0326371345,-0.004576533,-0.01094597,0.000285,0.0035586278,0.001873675,0.0317483413,0.0005663462,-0.003472333
1994-06-09,-0.021076666,-0.019322946,-0.011064353,-0.035097993,0.0202682388,0.0199858569,0.000285,-0.017061907,-0.01019585,-0.026434341,0.0081473558,0.00872375
1994-06-10,-0.01207907,-0.006233613,0.0001615379,0.0087809169,0.0033445754,-0.013140767,0.000285,-0.006063298,-0.000796675,0.0069498413,0.0032063173,-0.0152665
1994-06-13,-0.039427292,-0.012529097,0.0092809842,0.0112792265,-0.000488706,-0.015713346,0.000285,-0.008784941,0.0081296333,0.0093595079,0.0014129135,-0.017470917
1994-06-14,-0.010710639,0.0114073003,0.0128637916,0.0172755183,-0.022568475,0.0019520086,0.000285,0.0070907981,0.010150875,0.0174376111,-0.011887202,0.0079759167
1994-06-15,0.009749946,-0.007547569,0.0028545471,-0.02026775,0.0114243059,0.0028581496,0.000285,-0.004377661,0.0006201083,-0.014883603,0.0083794952,0.00623
1994-06-16,0.0285742879,-0.008845527,-0.009648132,-0.014291948,0.0135193643,0.0122194938,0.000285,-0.006577583,-0.007431242,-0.011476389,0.0091537692,0.0036634167
1994-06-17,0.0418605186,0.0028815505,-0.001876115,-0.010847901,-0.004749888,-0.003854065,0.000285,0.0065942306,0.0029131833,-0.007089603,-0.011146672,-0.006152583
