trdmn,mkt_rf,smb,hml,umd,rf,smb_equal,hml_equal,umd_equal,rmw,cma,rmw_equal,cma_equal
200511,-0.005967713,0.0358941513,0.0134862046,-0.049206108,0.001856,0.0337570775,0.012133145,-0.050056402,-0.029447597,0.0110302955,-0.025794053,0.0120431796
200512,0.0503335108,-0.055845229,0.014249437,0.0372163039,0.001856,-0.048065774,0.0073764328,0.0335101482,0.0415701386,-0.040634145,0.0434848498,-0.034687153
200601,0.0940595847,-0.0243118,0.0178908319,0.0154633656,0.001856,-0.046886327,0.0140087699,0.0290599257,0.0037868059,-0.032303802,0.028365111,-0.038618691
200602,0.0277670259,0.0012171182,0.0155287411,-0.0277723,0.001856,0.0178635235,0.0233841409,-0.061932677,0.004905377,-0.007315155,-0.021574905,0.0211669106
200603,0.0188829988,-0.020187539,-0.00388034,0.0912237112,0.001856,-0.027383045,-0.002227045,0.0786098627,0.0306132451,-0.036058363,0.0541595446,-0.031087622
200604,0.1115974128,-0.047617275,-0.001760774,0.0895202368,0.001856,-0.063776155,0.0260079777,0.1185254694,0.004622147,-0.011066904,0.0493244589,-0.053114444
200605,0.2097504722,0.0815078571,0.0269359665,-0.090705414,0.001856,0.0635098947,0.0186990087,-0.122071267,-0.109722357,0.0511700672,-0.085589833,0.0582604406
200606,0.0431995801,0.0317616534,0.011504104,-0.033875357,0.001856,0.0210965266,0.0259961823,-0.045164773,-0.022352171,0.0444926849,-0.020784363,0.0412691196
200607,-0.056830078,0.0581279119,-0.002919451,-0.005287413,0.001856,0.0519931782,0.0020244696,-0.019599649,-0.031236023,0.0249424896,-0.033717657,0.0406405721
200608,0.0301472678,-0.007378182,-0.006413585,0.0174095056,0.002076,-0.011822103,-0.008335311,0.0197749481,-0.000655349,-0.007985091,0.0004169002,-0.001011563
200609,0.0397635113,0.0252912197,-0.019467385,-0.006896949,0.002076,0.0252777308,-0.026399119,-0.020222258,-0.02243544,0.014628167,-0.036050064,0.0218705082
200610,0.0125989454,-0.019977484,0.0129205115,-0.022386601,0.002076,-0.007614943,0.0140091184,-0.00429958,0.0465544896,-0.016397836,0.0314154012,-0.019172512
200611,0.1083885873,-0.116265669,-0.010197309,0.0542113422,0.002076,-0.070670771,-0.00581884,0.0626430842,0.1170879253,-0.080120959,0.0761401218,-0.044050865
200612,0.1152845356,-0.094675107,0.0108950506,0.0771734148,0.002076,-0.049289208,0.0022707548,0.0660194781,0.0838690793,-0.029946315,0.0528656928,-0.022369193
200701,0.2078347378,0.0576085668,-0.002530154,-0.063349234,0.002076,0.0160980107,0.0043523693,-0.029718652,-0.072868822,0.0290775089,-0.028806286,0.0381388312
200702,0.1271769678,0.0965436498,0.0775305677,-0.10443317,0.002076,0.0617329554,0.0732721336,-0.09088276,-0.127440939,0.1045536134,-0.105968552,0.0585470723
200703,0.1242808001,0.1086852741,0.0301735217,-0.056306451,0.002296,0.0984422345,0.0177944359,-0.06654249,-0.080182665,0.0337438169,-0.083688588,0.0694577231
200704,0.3152750492,0.0523070077,0.1011198561,0.1025061489,0.002296,0.0326349186,0.120551891,0.0512424474,-0.114691981,0.0454554437,-0.083210659,0.0509618937
200705,0.1096969017,-0.029421254,-0.000713137,0.0056781862,0.002515,0.0073393248,-0.020477794,-0.00317377,0.0330115401,-0.037220128,-0.008794321,0.0190915446
200706,-0.109027754,-0.112613611,-0.076029196,-0.006454284,0.002515,-0.077066564,-0.060877995,0.0121796865,0.1793372564,-0.070659186,0.1474567622,-0.073309094
200707,0.1979019947,0.0808560953,0.0373494023,-0.022269906,0.002734,0.0758929409,0.0476167677,-0.081258696,-0.047078943,0.0216149709,-0.044232722,0.0174092439
200708,0.1357233232,-0.02384085,0.0087351066,0.0074633725,0.002952,-0.000777415,0.0046788121,-0.033973354,0.0225430113,-0.012233032,-0.010470998,0.0146868102
200709,0.0500789748,-0.011810581,0.0424992681,0.0287168135,0.003169,-0.003781655,0.0187569617,0.0167176969,0.0450857919,-0.008743658,0.0265307662,-0.00985526
200710,-0.05288482,-0.070804133,-0.061431588,0.0780207838,0.003169,-0.02863602,-0.027530426,0.0417572904,0.1225015359,-0.088574418,0.07079068,-0.039831268
200711,-0.142210281,0.0981200617,0.0359590464,-0.128893269,0.003169,0.0769475611,0.0045326561,-0.126284165,-0.098577123,0.0746919864,-0.078896569,0.044631283
200712,0.1812264561,0.0236257596,0.0063871368,-0.024781847,0.003386,-0.000548854,-0.011129282,-0.00150944,-0.03520177,0.0362614529,-0.004374434,0.0099127406
200801,-0.093652304,0.038260902,0.0032324393,-0.022530087,0.003386,0.0115953581,-7.059594E-6,-0.037369908,-0.026229934,0.0180329878,-0.01114089,0.0041604747
200802,0.0451149955,0.0779691871,0.0445461898,-0.039158839,0.003386,0.0559230082,0.0453396948,-0.02217393,-0.045526733,0.0478722061,-0.043204904,0.0226275216
200803,-0.200782249,0.0210251906,-0.015730529,-0.01616481,0.003386,0.0293506078,0.0032524487,-0.0348268,-0.000109626,-0.016289373,-0.010846379,0.0117991215
200804,-0.02236899,-0.065463351,0.0060797385,0.0308031655,0.003386,-0.051805913,-0.002258743,0.0492334501,0.0510043293,-0.029963639,0.0496628465,-0.024997548
200805,-0.058909795,0.0388628275,0.0201268057,-0.017635891,0.003386,0.0300972344,0.0096184689,-0.034416509,-0.012865156,0.0129662327,-0.02639161,0.0131790265
200806,-0.241360243,-0.015407199,-0.037614112,0.0175058149,0.003386,-0.005702442,-0.023000368,0.0089987207,0.0157319289,-0.024085642,0.0143318275,-0.009821594
200807,0.0445270415,0.081672915,0.0059618632,-0.041937738,0.003386,0.0565939209,0.0127112968,-0.040940424,-0.040004457,0.0423874857,-0.031233319,0.0249495942
200808,-0.218656255,-0.013545579,0.0172846297,-0.025151401,0.003386,0.005250987,0.0292090162,-0.025336918,0.0190656986,-0.020659367,-0.007783936,0.0081665115
200809,-0.04249161,-0.071234985,0.0468800604,-0.035291825,0.003386,-0.041907581,0.0247671467,-0.032496817,0.0206128029,-0.016799817,0.0184862881,-0.024612005
200810,-0.274331802,0.022323224,0.013091874,0.0210702387,0.002952,0.0223581203,0.0152346098,0.0074485097,-0.014357089,0.0516841197,-0.01601253,0.0408101935
200811,0.1652415005,0.0445677741,0.0002924231,-0.038410102,0.002076,0.0313436202,-0.001483342,-0.066469216,-0.020089,-0.024083235,-0.022719394,-0.009764602
200812,0.005643732,0.0723598903,-0.058976029,0.0004035304,0.001856,0.0408311026,-0.074723611,-0.025503936,-0.04630574,0.0131162923,0.0002359261,-0.000294801
200901,0.1302196534,0.0270512321,0.0048489631,-0.142251022,0.001856,-0.010132592,0.0001304308,-0.076194937,-0.031878909,-0.023953556,0.0090790637,-0.028182711
200902,0.0610956435,0.0282544007,0.0179551733,-0.045256221,0.001856,0.0097571423,0.0229725111,-0.07642151,-0.045194532,0.0416736046,-0.027414137,0.0278669827
200903,0.1876350029,0.0521752102,-0.01639017,-0.073736514,0.001856,0.0318092319,-0.020955454,-0.079007644,-0.046037004,-0.021712243,-0.013535067,-0.013031959
200904,0.0598062113,0.0143313316,-0.00168263,-0.005136637,0.001856,0.0231126023,0.0119567676,0.0011042639,-0.006533371,0.003821445,-0.008348655,-0.002153226
200905,0.0496918965,0.0379876902,-0.001856606,-0.02235742,0.001856,0.0275551601,0.0007515025,-0.032912626,-0.017630036,-0.008201492,-0.027141884,0.0116616126
200906,0.0826148856,-0.024387387,-0.008056188,-0.014335983,0.001856,0.0096999969,-0.002523428,-0.012310495,0.0523200346,-0.020594129,-0.003311791,0.0121894363
200907,0.1695557932,-0.035672218,0.0841220069,-0.077293851,0.001856,-0.019839045,0.0474855049,-0.052045575,-0.036888795,-0.003267556,0.0145620487,-0.018347019
200908,-0.1915674,0.0391721974,-0.061528436,-0.073585712,0.001856,0.0215129859,-0.041488434,-0.039845823,-0.004615305,0.0186969825,0.0007014212,0.0125626461
200909,0.0390827905,-0.011296614,-0.018893032,0.0187158316,0.001856,-0.003859576,-0.011857785,-0.002802537,0.0406993266,-0.028955772,0.0190770996,-0.01437065
200910,0.1003463664,0.0273088473,0.0161575295,0.0664403448,0.001856,0.0105402668,0.0129963145,0.0264022887,-0.025083259,0.0337137524,-0.009830594,0.0090618111
200911,0.109303432,0.0482075983,-0.00422387,-0.002719784,0.001856,0.0194327424,0.0094817834,-0.038818795,-0.01351522,0.0497175589,-0.005188304,0.0136396078
200912,0.0244651226,0.0179988004,0.0329256243,-0.053840869,0.001856,0.0305545357,-0.000409439,-0.028254436,-0.016169776,0.0121263121,-0.004933634,0.0063068282
201001,-0.077343947,0.0625244486,-0.041583916,-0.061167426,0.001856,0.0222237773,-0.020697649,-0.031278243,-0.022553065,0.0384898189,-0.015475495,0.0186530683
201002,0.0374506686,0.0378406428,0.0078285246,0.0307341702,0.001856,0.0212498176,0.0106341513,0.005928936,-0.034178768,0.0343934035,-0.025834877,0.0215692831
201003,0.0137733781,0.0336236981,-0.00008108,-0.003885948,0.001856,0.0321342909,0.0026055999,-0.009805459,-0.006856865,0.0174005052,-0.014105529,0.0187909527
201004,-0.079242228,0.0075800525,-0.042527322,0.0552671196,0.001856,-0.005938564,-0.039715198,0.0077874403,0.0121361242,0.0067159515,0.0306608007,0.0038776505
201005,-0.089008375,0.0045033619,-0.051872486,0.0626246928,0.001856,0.0023744374,-0.03857198,0.0564901295,0.0345909004,-0.006598256,0.0162774869,-0.011250766
201006,-0.092482431,-0.00966492,-0.006916041,-0.028648327,0.001856,0.002770901,-0.004522017,-0.018705555,-0.000859063,-0.008038988,0.0062667633,0.0033282019
